Abandon         ebandın	          TERK ETMEK
Lady	leydi	HANIMEFENDİ
Lake	leyk	GÖL
Lamb	lemb	KUZU, KUZU, KOYUN ETİ
Lame	leym	TOPAL
Lamp	lemp	LAMBA
Land	lend	KARA,ARAZİ
Land	lend	İNİŞ YAPMAK, KONMAK (uçak v.s.)
Landlady	lendleydi	EVSAHİBİ BAYAN, EVİNİ KİRAYA VEREN
Language	lengwıc	DİL ( yabancı dil v.b )
Large	larc	GENİŞ
Last	lest	SON, SONUNDA, GEÇMİŞ
Last	lest	DEVAM ETMEK, SÜRMEK, YETERLİ OLMAK
Late	leyt	1.GEÇ  2.SONU (late september=eylül sonu v.b)
Laugh	laf	GÜLMEK
Laundry	londri	YIKANACAK ÇAMAŞIR, ÇAMAŞIRHANE
Lavatory	levıtri	TUVALET
Law	lou	YASA, KANUN
Lawful	lofl	YASAL
Lawyer	louyır	AVUKAT
Lay	ley	KOYMAK(bir şeyin üstüne), YATIRMAK
Lazy	leyzi	TEMBEL
Lead	led	1.KURŞUN (metal)  2.KURŞUN KALEM UCU
Lead	liid	ÖNDERLİK ETMEK,ÖNDE GİTMEK,  YOL GÖSTERMEK
Leader	liidır	ÖNDER, LİDER
Leadership	liidışip	ÖNDERLİK
Leaf	liif	YAPRAK
Lean	liin	1.İNCE, YAĞSIZ 2.EĞİLMEK YASLANMAK
Learn	lörn	ÖĞRENMEK
Least	liist	EN AZ
Leather	ledır	DERİ
Leave	liiv	TERK ETMEK
Left	left	1.SOL 2.KALAN
Leg	leg	BACAK
Legacy	legisi	MİRAS
Legal	ligl	YASAL
Lemon	lemın	LİMON
Lend	lend	ÖDÜNÇ VERMEK
Lens	lenz	LENS
Less	les	DAHA AZ
Lesson	lesn	DERS
Let	let	BIRAKMAK
Letter	letır	MEKTUP, HARF
Letter Box	letır baks	MEKTUPLUK
Level	levl	DÜZEY, SEVİYE
Liberal	libırıl	LİBERAL
Liberty	libırti	SERBEST OLMAK
Library	laybrıri	KİTAPLIK, KÜTÜPHANE
Licence	laysıns	LİSANS (ehliyet v.b )
Lie	laı	YALAN, YALAN SÖYLEMEK
Lie	laı	YATMAK
Life	layf	YAŞAM, HAYAT
Lift	lift	1.ASANSÖR 2.YUKARI KALDIRMAK
Light	layt	1.IŞIK 2.AÇIK (renklerde) 3.HAFİF
Like	layk	1. HOŞLANMAK  2.GİBİ
Likely	laykli	BÜYÜK OLASILIKLA				
Line	layn	ÇİZGİ, SATIR, SIRA				
Link	link	BİRLEŞTİRMEK				
Lip	lip	DUDAK				
Liquid	likuit	SIVI				
List	list	LİSTE				
Listen	lisın	DİNLEMEK				
Little	litıl	KÜÇÜK				
Live	laıv	CANLI				
Live	liv	YAŞAMAK				
Lives	layvz	YAŞAMLAR				
Living	living	YAŞAM BİÇİMİ				
Load	loud	YÜK, YÜKLEMEK,SİLAH DOLDURMAK				
Local	lokıl	BÖLGESEL, YEREL				
Lock	lok	KİLİTLEMEK, KİLİT				
Long	long	UZUN				
Look	luuk	BAKMAK, BAKIŞ				
Loose	luuz	BOL, BAĞSIZ				
Lose	luuz	KAYBETMEK				
Loss	los	KAYIP, ZARAR				
Lot	lot	ÇOK				
Loud	laud	YÜKSEK SESLİ				
Love	lav	SEVGİ;AŞK				
Lovely	lavli	SEVİMLİ				
Low	lov	ALÇAK, DÜŞÜK				
Lower	lovır	AŞAĞIYA İNDİRMEK				
Luck	lak	ŞANS				
Lucky	laki	ŞANSLI				
Luggage	lagıc	VALİZ, YÜK				
Lunch	lanç	ÖĞLE YEMEĞİ				
Lung	lang	AKCİĞER				
Luxury	lakşıri	LÜKS				



Machine	mışiin	MAKİNE				
Machine-Gun	mışiin gan	MAKİNELİ TÜFEK				
Mad	med	DELİ				
Madam	medım	MADAM, BAYAN				
Magic	mecik	BÜYÜ				
Mail	meyl	POSTA				
Main	meyn	ANA, ESAS				
Make	meyk	1.YAPMAK  2.ÇEŞİT				
Make-Up	meyk ap	1.MAKYAJ  2.UYDURMAK				
Male	meyl	ERKEK				
Man	men	ADAM				
Manage	menıc	YÖNETMEK, KONTROL ETMEK				
Management	menıcmınt	YÖNETİM, İDARE				
Manager	menıcır	YÖNETİCİ, MENAJER				
Manner	menır	TAVIR, GÖRGÜ				
Many	meni	BİRÇOK				
Map	mep	HARİTA				
March	març	1.MARŞ 2.YÜRÜYÜŞ 3.MART (ayı)				
Mark	mark	İŞARETLEMEK, İŞARET				
Market	maakıt	PAZAR, PİYASA				
Marry	meri	EVLENMEK				
Marvellous	marvılıs	ŞAHANE, HARİKA				
Mask	mesk	MASKE				
Mass	mes	KÜTLE, KİTLE, KALABALIK				
Master	mestır	UZMAN, ŞEF, SAHİP, HOCA				
Match	meç	1.UYMAK, UYUŞMAK 2.MAÇ 3.KİBRİT				
Material	metıriıl	MALZEME, KUMAŞ				
Matter	metır	1.MESELE  2.ÖNEMLİ OLMAK				
May	mey	1.MAYIS 2.MAY BE = BELKİ				
Me	mi	BANA, BEN				
Meal	miıl	YEMEK				
Mean	miin	1.ANLAMINA GELMEK,İSTEMEK,PLANLAMAK 2.CİMRİ				
Mean	miin	ORTALAMA				
Meaning	miining	ANLAM				
Means	miins	1.STİL, YOL, YARDIM  2.PARA				
Meantime	miintaym	BU ARADA				
Meanwhile	miinvayl	BU ARADA, AYNI ANDA				
Measure	mejır	ÖLÇÜ				
Meat	miit	ET				
Mechanic	mekanik	MEKANİK				
Medal	medıl	MADALYA				
Medicine	medisin	İLAÇ, TIP				
Meet	miit	BULUŞMAK, KARŞILAMAK				
Meeting	miiting	TOPLANTI, MİTİNG				
Melody	melodi	EZGİ, MELODİ				
Melon	melın	KAVUN				
Melt	melt	ERİMEK				
Member	membır	ÜYE				
Memorable	memırıbl	UNUTULMAYACAK				
Memorandum	memırendım	NOT				
Memorial	memoriıl	BİR KİŞİNİN ANISINA YAPILAN YAPIT				
Memorize	memırayz	EZBERLEMEK				
Memory	memıri	HAFIZA				
Men	men	ADAMLAR				
Mend	mend	TAMİR ETMEK				
Mental	mentıl	ZİHİNSEL				
Mention	menşın	BAHSETMEK				
Merchant	mörçınt	TÜCCAR				
Mercy	mörsi	MERHAMET				
Mere	miır	SADECE,YALNIZCA				
Merry	meri	MUTLU				
Mess	mes	KARGAŞALIK,DAĞINIKLIK				
Message	mesıc	MESAJ				
Metal	metıl	METAL				
Meter	mitır	ÖLÇEK				
Method	methıd	METOT				
Metre	mitr	METRE				
Mice	mays	FARELER				
Middle	midl	ORTA
Midnight	midnayt	GECE YARISI (24:00)
Military	militıri	ASKERİ
Milk	milk	SÜT
Mill	mil	1.DEĞİRMEN 2.İMALATHANE
Mimic	mimik	TAKLİT ETMEK (birini)
Mind	maynd	AKIL
Mind	maynd	BİRİNE BAKMAK,DERT ETMEK
Mine	mayn	1.BENİM 2.MADEN OCAĞI 3.MAYIN
Minimum	minımum	ENAZ
Minister	minıstır	1.BAKAN 2.BÜYÜKELÇİ YARDIMCISI
Minority	maynorıti	AZINLIK
Minus	maynıs	EKSİ  ( - )
Minute	mınıt	1.DAKİKA 2.ÇOK KÜÇÜK 3.ZABIT
Minor	maynır	ÖNEMSİZ, UFAK, MİNÖR
Mirror	mirır	AYNA
Miss	mis	1.ÖZLEMEK 2.KAÇIRMAK,KAYIP
Miss	mis	BAYAN
Missile	misayl	FÜZE, FIRLATILAN CİSİM
Mission	mişn	ÖZEL BİR GÖREV İÇİN YOLCULUK,MİSYON
Mistake	misteyk	HATA
Misunderstand	misandırstend	YANLIŞ ANLAMAK
Mix	miks	KARIŞTIRMAK, KARIŞMAK
Model	madl	MODEL (model araba,manken v.b)
Moderate	madırıt	ILIMLI, ORTADA
Modern	madn	MODERN, ÇAĞDAŞ
Modest	modıst	ALÇAKGÖNÜLLÜ, ILIMLI
Moment	moumınt	AN
Monday	mondey	PAZARTESİ
Money	mani	PARA
Monkey	manki	MAYMUN
Month	manth	AY (takvim ayı)
Moon	muun	AY
More	mor	DAHA FAZLA
Morning	morning	SABAH
Mosque	mosk	CAMİ
Most	moust	EN ÇOK
Mother	madır	ANNE
Motor	moutır	MOTOR
Mountain	mauntın	DAĞ
Mouse	maus	FARE
Mouth	mauth	AĞIZ
Move	muuv	HAREKET ETMEK, ETTİRMEK
Movement	muuvmınt	HAREKET
Much	maç	ÇOK (miktarca)
Mud	mad	ÇAMUR
Murder	mördır	CİNAYET
Music	müuzik	MÜZİK
Must	mast	ZORUNLULUK
My	may	BENİM
Mystery	mıstri	ESRAR, BİLİNMEZLİK



Nail	neyl	1.TIRNAK  2.ÇİVİ
Name	neym	İSİM
Narrow	nerou	DAR
Nation	neyşın	ULUS
National	neyşınl	ULUSAL
Native	neytiv	YERLİ (her native language)
Natural	neçrıl	DOĞAL
Nature	neyçır	DOĞA
Near	niır	YAKIN
Necessary	nesısıri	GEREKLİ
Necessity	nısesiti	GEREKLİLİK
Neck	nek	BOYUN, ENSE
Need	niid	GEREKSİNİM, İHTİYAÇ
Needle	niidl	İĞNE, ŞİŞ
Neglect	nıglekt	İHMAL ETMEK
Neighbour	neybır	KOMŞU
Neither	niidır	HİÇBİRİ
Neither...Nor...	naydır..nor..	NE O..NE ÖBÜRÜ
Nephew	nevüuu	YEĞEN (erkek)
Nervous	nörvıs	SİNİRLİ
Nest	nest	YUVA, KUŞ YUVASI
Net	net	1.AĞ  2.NET (brütün tersi)
Never	never	HİÇBİR ZAMAN ,ASLA
Nevertheless	nevedıles	BUNA RAĞMEN, HALA, AMA
New	nuu	YENİ
News	nüuz	HABER
Newspaper	nüuspeypır	GAZETE
Next	nekst	EN YAKIN, BİR SONRAKİ, ERTESİ
Nice	nays	HOŞ
Niece	niis	YEĞEN (kız)
Night	nayt	GECE
Nil	nil	SIFIR, BOŞLUK
No	no	HAYIR
Noble	noubl	SOYLU
Nobody	noubadi	HİÇ KİMSE
Noise	noiz	GÜRÜLTÜ
None	nan	HİÇBİRİSİ
Noon	nuun	ÖĞLE ZAMANI
Normal	normıl	NORMAL
North	north	KUZEY
Nose	nouz	BURUN
Not	nat	DEĞİL
Note	not	1. NOT 2.KAĞIT PARA 3. NOTA
Nothing	nathing	HİÇBİR ŞEY
Notice	noutis	DUYURU, DİKKATİNİ ÇEKMEK
November	novembır	KASIM
Now	nau	ŞİMDİ
Nowadays	nauıdeyz	BUGÜNLERDE
Nowhere	nouweır	HİÇ BİRYER
Nuisance	nuusıns	SIKINTI, DERT				
Number	nambır	SAYI, NUMARALANDIRMAK				
Nurse	nörs	HEMŞİRE, HASTABAKICI				
Nut	nat	1.KURUYEMİŞ (fındık v.b) 2.SOMUN				



Oak	ook	MEŞE				
Obey	obey	SÖZ DİNLEMEK, İTAAT ETMEK				
Object	ıbcekt	İTİRAZ ETMEK				
Object	abcekt	NESNE, OBJE, AMAÇ				
Observation	abzıveyşın	GÖZLEM				
Observe	ıbzörv	GÖZLEM YAPMAK				
Obtain	ıbtein	TEDARİK ETMEK, SAĞLAMAK				
Obvious	ıbvıyıs	AŞİKAR				
Occasion	ıkeyjn	VESİLE				
Occupation	aküpeyşın	1.MESLEK  2.İŞGAL				
Occupy	aküpay	İŞGAL ETMEK, OTURMAK, KAPLAMAK, MEŞGUL ETMEK				
Ocean	ouşın	OKYANUS				
October	oktobır	EKİM (ayı )				
Of	ov	İYELİK EKİ, NIN				
Off	of	YOK OLMAK, EKSİLMEK				
Offence	ıfens	1.YASADIŞI İŞ 2.SALDIRI, OFENS				
Offend	ıfend	KIZDIRMAK, İNCİTMEK (birini)				
Offer	ofır	TEKLİF ETMEK				
Office	ofis	OFİS				
Officer	ofisır	SUBAY, MEMUR				
Official	ofişl	RESMİ				
Often	ofn	SIK SIK				
Oil	oyl	YAĞ, PETROL				
Old	old	ESKİ, YAŞLI				
On	an	ÜZERİNDE				
Once	wans	1.BİR KEZ 2.BİR AN ÖNCE				
One	wan	BİR				
Only	ounli	SADECE, YALNIZCA				
Open	oupın	AÇIK, AÇMAK				
Operate	opıreyt	ÇALIŞMAK				
Operation	opıreyşın	1.OPERASYON  2.AMELİYAT				
Operator	opıreytır	OPERATÖR				
Opinion	opinyın	DÜŞÜNCE				
Opportunity	aporçüniti	FIRSAT				
Opposite	apızit	ZIT,TERS				
Optimist	aptimist	İYİMSER				
Or	or	VEYA				
Orange	orınc	1.PORTAKAL 2.TURUNCU				
Order	oordır	1.EMİR 2.SİPARİŞ 3.DÜZEN, SIRA				
Ordinary	oodnri	SIRADAN, NORMAL				
Organ	orgın	1.ORG 2.ORGAN 3.ORGANİZASYON, KURULUŞ				
Organize	orgınayz	ORGANİZE ETMEK				
Origin	oricin	KÖKEN, ORİJİN				
Other	adır	DİĞER				
Otherwise	adırwayz	1.BAŞKA TÜRLÜ  2.YOKSA,AKSİ TAKTİRDE				
Ought	oot	..MELİ ..MALI EKİ				
Our	aar	BİZİM				
Out	aut	DIŞARI				
Out-Of-Date	aut ov deyt	MODASI GEÇMİŞ, ESKİ				
Outline	autlayn	ANA HAT, ÖZETLEMEK				
Output	autput	ÇIKTI				
Outside	autsayd	DIŞARI				
Oven	avn	FIRIN				
Over	ouvır	1.ÜSTÜNDE  2.BİTMEK				
Overcome	ouvıkam	ÜSTESİNDEN GELMEK				
Owe	ou	BORÇLU OLMAK				
Own	on	SAHİP OLMAK				
Owner	ounır	SAHİP				
Ox	oks	BOĞA				



Pack	pek	PAKETLEMEK				
Packet	pekıt	PAKET				
Page	peyc	SAYFA				
Pain	peyn	ACI, AĞRI				
Painful	peynful	AĞRILI				
Paint	peynt	BOYAMAK, BOYA				
Painter	peyntır	1.RESSAM  2.BOYACI				
Pair	peır	ÇİFT				
Palace	pelıs	SARAY				
Pale	peyl	SOLUK,SOLGUN  (renk)				
Pan	pen	TAVA				
Panic	penik	PANİK				
Paper	peypır	1.KAĞIT 2.GAZETE 3.EVRAK, KİMLİK				
Paradise	perıdays	CENNET				
Paragraph	perıgraf	PARAGRAF				
Parcel	paasl	PARÇA				
Pardon	paadn	PARDON				
Parent	perınt	ANA BABA				
Park	park	1.PARK 2.PARK ETMEK				
Parliament	parlımınt	PARLAMENTO				
Parrot	perıt	PAPAĞAN				
Part	part	KISIM, BÖLÜM ,AYIRMAK				
Part-Time	part taym	YARIM GÜN				
Particular	pıtikülır	YALNIZ, ÖZEL, TİTİZ				
Partner	partnır	1.ORTAK  2.PARTNER				
Party	paati	PARTİ				
Pass	pes	GEÇMEK, GEÇİRMEK				
Passage	pesıc	PASAJ				
Passenger	pesıncır	YOLCU				
Passport	pasport	PASAPORT				
Password	paswörd	PAROLA				
Past	pest	GEÇMİŞ				
Patience	peyşns	SABIR				
Patient	peyşnt	1.SABIRLI 2.HASTA				
Pay	pey	ÖDEMEK				
Payment	peymınt	ÖDEME				
Peace	piis	BARIŞ				
Pear	peır	ARMUT
Peculiar	pıküliır	GARİP
Pen	pen	1.AĞIL 2.TÜKENMEZ KALEM
Penalty	penılti	CEZA
Pencil	pensl	KURŞUN KALEM
People	piipl	HALK
Pepper	pepır	BİBER
Per	pör	HER
Perfect	pörfekt	KUSURSUZ, YETKİN
Perform	pörform	1.ÇALIŞMAK 2.UYGULAMAK
Performance	pörformıns	PERFORMANS
Perhaps	pörheps	BELKİ
Permission	pörmişn	İZİN
Permit	pörmit	1.İZİN VERMEK 2.İZİN KAĞIDI
Person	pörsın	KİŞİ
Personality	pörsınelıti	KİŞİLİK
Persuade	pörsweyd	İKNA ETMEK
Petrol	petrıl	PETROL
Phone	foun	TELEFON
Photo	foutou	FOTOĞRAF
Piano	pieno	PİYANO
Pick	pik	TOPLAMAK, SEÇMEK
Pickpocket	pikpakıt	YANKESİCİ
Picnic	piknik	PİKNİK
Picture	pikçır	RESİM
Pie	pay	PASTA, BÖREK
Piece	piis	PARÇA
Pig	pig	DOMUZ
Pigeon	picın	GÜVERCİN
Pile	payl	ÜST ÜSTE KOYMAK
Pill	pil	HAP
Pilot	paylıt	PİLOT
Pin	pin	TOPLU İĞNE
Pine	payn	ÇAM
Pineapple	paynepl	ANANAS
Pink	pink	PEMBE
Pipe	payp	1.BORU 2.PİPO 3.FLÜT
Pity	piti	ACIMAK (What a pity : Ne yazık)
Place	pleys	YER, YERLEŞTİRMEK
Plain	pleyn	AÇIK, ORTADA, DÜZ
Plan	plen	PLAN, PLANLAMAK
Plane	pleyn	UÇAK
Plant	plent	1.BİTKİ, BİTKİ EKMEK  2.FABRİKA, TESİS
Plantation	plenteyşn	EKİLİ YER
Plate	pleyt	TABAK
Play	pley	1.OYNAMAK 2.ÇALMAK (bir müzik aletini)
Player	pleyır	OYUNCU, ÇALAN
Pleasant	pleznt	KEYİFLİ, ZEVKLİ
Please	pliiz	1.LÜTFEN  2.MUTLANDIRMAK
Pleasure	plejır	ZEVK
Plenty	plenti	ÇOK SAYIDA
Plough	plau	TOPRAĞI SÜRMEK
Plug	plag	FİŞ, BANYO TIKACI
Plus	plas	ARTI
Pocket	pakıt	CEP
Poem	poım	ŞİİR
Poet	poıt	ŞAİR, OZAN
Poetry	poıtri	ŞİİRLER, ŞAİRLİK, ŞİİRLE İLGİLİ
Point	point	NOKTA, UÇ
Poison	poizın	ZEHİR
Police	pıliis	POLİS
Policy	palısi	1.POLİÇE  2.YÖNETİM İLKESİ, POLİTİKA
Polish	poliş	PARLATMAK
Polite	pılayt	KİBAR
Political	pılitikl	POLİTİK
Politician	polıtişın	POLİTİKACI, POLİTİKAYLA UĞRAŞAN
Politics	palitiks	POLİTİK
Pool	puul	HAVUZ
Poor	puur	1.YOKSUL 2.ZAVALLI
Population	papüleyşn	NÜFUS
Pork	pork	DOMUZ ETİ
Port	port	LİMAN
Position	pızişn	DURUM, KONUM
Positive	pazitiv	1.EMİN, KESİN  2.OLUMLU
Possess	pızes	SAHİP OLMAK
Possession	pızeşn	SAHİPLİK
Possibility	pasıbilıti	OLASILIK
Possible	pasıbl	OLASI, MÜMKÜN
Post	poust	1.POSTA  2.İŞARET  3.DEVRİYE GEZMEK (askerde)
Postpone	pospon	ERTELEMEK
Pot	pot	TENCERE
Potato	poteyto	PATATES
Pour	poor	DÖKMEK, AKITMAK
Powder	paudır	TOZ, PUDRA
Power	pauır	GÜÇ
Powerful	pauıfl	GÜÇLÜ
Practical	prektikl	PRATİK
Practice	prektis	ALIŞTIRMA
Practise	prektis	ALIŞTIRMA YAPMAK
Praise	preyz	ÖVMEK
Pray	prey	DUA ETMEK
Preach	priiç	VAAZ VERMEK
Predict	prıdikt	TAHMİN ETMEK
Prefer	prıför	YEĞLEMEK, TERCİH ETMEK
Pregnant	pregnınt	HAMİLE
Prejudice	precıdis	ÖNYARGI
Preparation	prepıreyşn	HAZIRLIK
Prepare	prıpeır	HAZIRLAMAK
Presence	prezns	VARLIK(bir yerde varlığı )
Present	preznt	BURADA, MEVCUT, ŞİMDİKİ, ARMAĞAN
Present	prizent	SUNMAK				
President	prezidınt	BAŞKAN				
Press	pres	1.BASKI 2.ÜTÜLEME 3.BASIN				
Press	pres	BASKI YAPMAK, BASMAK				
Pressure	preşır	BASINÇ, BASKI				
Pretend	pritend	GİBİ GÖZÜKMEK, TAKLİT YAPMAK				
Pretty	priti	1.SEVİMLİ  2.OLDUKÇA				
Prevent	privent	KORUMAK				
Previous	priiviıs	ÖNCEKİ				
Price	prays	FİYAT				
Pride	prayd	ONUR,GURUR				
Priest	priist	RAHİP				
Prince	prins	PRENS				
Principal	prinsipl	1.EN ÖNEMLİ 2.PRENSİP  3.ANA PARA (borçta)				
Print	print	1.BASMAK(harfler vs.) 2.İZ				
Prison	prizn	HAPİS				
Prisoner	priznır	1.MAHKUM 2.ESİR				
Private	prayvıt	ÖZEL				
Prize	prayz	ÖDÜL				
Probable	prabıbl	OLASI				
Problem	prablım	SORUN, PROBLEM				
Produce	prodyus	ÜRETMEK				
Product	prıdak	ÜRÜN				
Production	prodakşn	ÜRETİM				
Profession	profeşn	MESLEK				
Profit	profit	KAR				
Programme	prougrem	PROGRAM				
Progress	prougres	GELİŞME				
Promise	promis	SÖZ VERMEK				
Pronounce	pronauns	OKUNUŞUNU ÇIKARTMAK, TELAFFUZ ETMEK				
Proof	pruuf	KANIT				
Proper	prapır	UYGUN, DOĞRU				
Property	prapıti	MAL, MÜLK (bir işinin sahip olduğu), EŞYA				
Proposal	propouzl	PLAN, ÖNERİ				
Propose	propouz	1.PLANINI AÇIKLAMAK 2.EVLİLİK TEKLİF ETMEK				
Protect	prıtekt	KORUMAK				
Protest	protest	PROTESTO				
Proud	praud	GURURLU				
Prove	pruuv	KANITLAMAK				
Provide	provayd	SAĞLAMAK, TEDARİK ETMEK				
Pub	pab	PAB, BİRAHANE				
Public	pablik	HALK  (puplıc sector=devlet sektörü )				
Publish	pabliş	BASIM (bir yayını)				
Pull	pul	ÇEKMEK				
Pullover	pulouvır	1.KAZAK  2.ARABAYI DURDURMAK, KENARA ÇEKMEK				
Pump	pamp	POMPA				
Punch	panç	1.DELMEK 2.YUMRUKLAMAK				
Punish	paniş	CEZALANDIRMAK				
Pupil	püupl	1.ÖĞRENCİ 2.GÖZBEBEĞİ				
Puppet	papıt	KUKLA				
Puppy	papi	GENÇ KÖPEK				
Purchase	pörçıs	SATIN ALMAK				
Purple	pörpıl	MOR				
Purpose	pöpıs	AMAÇ				
Push	puş	İTMEK				
Put	put	KOYMAK				
Puzzle	pazl	BULMACA, PROBLEM				
Pyjamas	pıcaamız	PİJAMA				



Quality	kualıti	NİTELİK, KALİTE				
Quantity	kuantıti	MİKTAR				
Quarrel	kuarıl	TARTIŞMAK, ATIŞMAK				
Quarter	kootır	ÇEYREK				
Queen	kuiin	KRALİÇE				
Question	quesçın	SORU, SORMAK				
Queue	küu	SIRA, KUYRUK				
Quick	kuik	ÇABUK				
Quiet	kuayıt	SESSİZ, SAKİN, HUZURLU				
Quite	kuayt	HEMEN HEMEN, YAKLAŞIK OLARAK				
Quiz	kuiz	KÜÇÜK TEST				
Rabbit	rebit	TAVŞAN				
Race	reys	IRK				
Race	reys	YARIŞMAK				
Radiator	reydieytır	RADYATÖR				
Radio	reydio	RADYO				
Rail	reyl	RAY				
Railway	reylwey	TREN YOLU				
Rain	reyn	YAĞMUR				
Raincoat	reynkout	YAĞMURLUK				
Raise	reyz	1.YÜKSELTMEK 2.ZAM YAPMAK 3.YETİŞTİRMEK				
Range	reync	ARALIK, ALAN				
Rank	renk	1.SIRA 2.RÜTBE 3.SOSYAL SINIF				
Rapid	repid	ÇABUK, HIZLI				
Rare	reyr	NADİR				
Rate	reyt	1.HIZ  2. ORAN				
Rather	radır	EPEY, ÇOK DEĞİL				
Raw	row	1.HAM 2.ÇİĞ				
Razor	reyzır	USTURA, TRAŞ MAKİNESİ				
Reach	riiç	ERİŞMEK				
Read	riid	OKUMAK				
Ready	redi	HAZIR				
Realize	riılayz	FARK ETMEK (idrak etmek )				
Really	riıli	GERÇEKTEN				
Reason	riizn	1.NEDEN  2.AKIL				
Reasonable	riiznıbl	MAKUL				
Recall	rikol	ANIMSAMAK				
Receipt	rısiit	MAKBUZ				
Receive	rısiiv	1.ALMAK 2.KARŞILAMAK				
Recent	riisnt	YAKIN ZAMANDA OLAN				
Reception	risepşn	1.RESMİ DAVET 2.RESEPSİYON				
Recognize	rekıgnayz	TANIMAK				
Recommend	rekımend	TAVSİYE ETMEK
Record	rekord	1.KAYIT 2.PLAK 3.REKOR
Recover	rikavır	1.İYİLEŞMEK 2.(kaybedilen bir şeyi) BULMAK
Red	red	KIRMIZI, KIZIL
Reduce	rıdyus	AZALTMAK
Reflect	riflekt	YANSITMAK
Refuge	refüuc	REFÜJ, GÜVENLİ YER
Refugee	refyucii	TEHLİKEDEN KAÇAN, KAZAZEDE
Refuse	refyuz	REDDETMEK
Regard	rigard	1.DİKKAT 2.DÜŞÜNCE 3.BAKMAK 4.İNANMAK
Regret	rigret	ÜZGÜN OLMAK, PİŞMAN OLMAK
Regular	regulır	DÜZENLİ, OLAĞAN
Reject	ricekt	KABUL ETMEMEK
Relation	rıleyşn	1.İLİŞKİ 2.AKRABALIK
Relationship	rıleyşnşip	İLİŞKİ, İLETİŞİM
Relative	relıtiv	1.AKRABA 2.GÖRECELİ
Relax	rileks	RAHATLAMAK, GEVŞEMEK
Release	rilis	SERBEST BIRAKMAK, GEVŞETMEK
Relief	rıliif	RAHATLAMA
Relieve	rıliiv	UZAKLAŞTIRMAK (ağrıyı v.s.)
Religion	rılicın	DİN
Remain	rımeyn	1.GERİYE KALMAK 2.YERİNDE DURMAK
Remark	rımark	BELİRTMEK, AÇIKLAMA
Remarkable	rımarkıbl	DİKKATE DEĞER
Remember	rimembır	UNUTMAMAK, ANIMSAMAK
Remind	rimaynd	ANIMSATMAK
Remote	rimuut	UZAK
Remove	rimuuv	UZAKLAŞTIRMAK
Rent	rent	KİRALAMAK
Repair	ripeır	ONARMAK
Repay	rıpey	GERİ ÖDEMEK
Repeat	rıpiit	TEKRARLAMAK
Replace	rıpleys	YENİDEN YERLEŞTİRMEK
Replacement	rıpleysmınt	YERLEŞTİRME
Reply	rıplay	YANITLAMAK, YANIT
Report	riport	RAPOR,  RAPOR ETMEK
Represent	reprızent	TEMSİL ETMEK
Representative	reprızentıtiv	TEMSİLCİ
Republic	rıpablik	CUMHURİYET
Request	rikuest	RİCA ETMEK, RİCA
Require	rikuayır	GEREKSİNMEK
Rescue	reskuu	KURTARMAK
Reserve	rizörv	1.REZERV 2.REZERVASYON YAPTIRMAK
Resign	rizayn	İSTİFA ETMEK
Resist	rızist	KARŞI KOYMAK
Respect	rıspekt	SAYGI DUYMAK
Respectable	rıspektıbl	SAYGIDEĞER
Responsible	rıspansıbl	SORUMLU
Rest	rest	DİNLENMEK
Rest	rest	GERİYE KALAN
Restaurant	restrant	RESTORAN, LOKANTA
Result	rizalt	SONUÇ
Retire	ritayır	EMEKLİ OLMAK
Return	ritörn	GERİ DÖNMEK
Revenge	rivenc	ÖÇ ALMAK, İNTİKAM
Reward	riword	ÖDÜL
Rib	rib	KABURGA
Ribbon	ribın	KURDELA, ŞERİT
Rice	rays	PİRİNÇ
Rich	riç	ZENGİN
Ride	raıd	ATA,BİSİKLETE BİNMEK
Ridiculous	ridikulıs	GÜLÜNÇ, SAÇMA
Right	rayt	1.HAK 2.DOĞRU,HAKLI 3.SAĞ TARAF
Ring	ring	YÜZÜK, HALKA
Ring	ring	ÇALMAK(zil çalması), TELEFON ETMEK
Ripe	rayp	OLGUN, HAM DEĞİL
Rise	rayz	YÜKSELMEK
Risk	risk	RİSK
Risky	riski	RİSKLİ
River	rivır	NEHİR
Road	roud	YOL
Roar	roor	KÜKREME
Roast	roust	ROSTO, FIRINDA PİŞİRMEK
Rob	rob	1.SOYGUN YAPMAK
Rock	rak	1.KAYA  2.SALLANMAK
Role	roul	ROL
Roll	rol	YUVARLANMAK
Roof	ruuf	ÇATI
Room	ruum	ODA
Root	ruut	KÖK
Rope	roup	HALAT, İP
Rose	rouz	1.GÜL 2.PEMBE
Rough	raf	KABA
Round	raund	YUVARLAK
Row	rou	1.SIRA 2.GÜRÜLTÜ
Row	rou	KÜREK ÇEKMEK
Royal	royıl	KRALİYETE AİT
Rub	rab	SÜRMEK, SÜRTMEK, OVMAK
Rubbish	rabiş	1.ÇÖP 2.SAÇMA
Rude	ruud	KABA
Rule	ruul	1.YÖNETMEK 2.KURAL
Ruler	ruulır	1.KURAL KOYUCU, YÖNETİCİ  2.CETVEL
Rumble	rambl	GÜRLEMEK
Run	ran	1.KOŞMAK 2.ÇALIŞTIRMAK (fabrika,şirket v.b)
Runaway	ranıwey	1.KAÇAK 2.KONTROL DIŞI (runaway increase in prices)
Rush	raş	ÇABUK DAVRANMAK



Sabotage	sebıtaj	SABOTAJ
Sack	sek	ÇUVAL
